article_of_recipe_id,order,text,image_path,image_url,created_at,updated_at
1,1,野菜を切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 07:00:00,2024-05-01 07:30:00
1,2,切った野菜を鍋に入れ、カレー粉を加えて煮ます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-01 07:30:00,2024-05-01 08:00:00
2,1,トマトとパスタを茹でます。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 08:00:00,2024-05-01 08:30:00
2,2,茹でたトマトとパスタをフライパンに入れ、ソースを加えて炒めます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/step4.jpg,2024-05-01 08:30:00,2024-05-01 09:00:00
3,1,ほうれん草と豆腐を切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 09:00:00,2024-05-01 09:30:00
3,2,切ったほうれん草と豆腐をボウルに入れ、ドレッシングを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-01 09:30:00,2024-05-01 10:00:00
4,1,チョコレートを溶かし、ムースのベースを作ります。,recipes/step_images/cooking_cake.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/cooking_cake.jpg,2024-04-29 16:00:00,2024-04-29 16:30:00
4,2,ムースが固まるまで冷蔵庫で冷やします。,,,2024-04-29 16:00:00,2024-04-29 16:30:00
5,1,豆腐をハンバーグの形に成形します。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 11:00:00,2024-05-01 11:30:00
5,2,成形した豆腐ハンバーグをフライパンで焼きます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-01 11:30:00,2024-05-01 12:00:00
6,1,春キャベツを丸ごと野菜で巻きます。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 12:00:00,2024-05-01 12:30:00
6,2,巻いた春キャベツを蒸し器で蒸します。,,,2024-05-01 12:30:00,2024-05-01 13:00:00
7,1,大根をステーキの形に切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 13:00:00,2024-05-01 13:30:00
7,2,切った大根をフライパンで焼き、チーズを乗せて溶かします。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-01 11:30:00,2024-05-01 12:00:00
8,1,タルト生地を作り、フルーツをトッピングします。,recipes/step_images/cooking_cake.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/cooking_cake.jpg,2024-04-29 20:00:00,2024-04-29 20:30:00
8,2,オーブンで焼き上げます。,,,2024-04-29 20:00:00,2024-04-29 20:30:00
9,1,抹茶と小麦粉を混ぜ、スポンジ生地を作ります。,recipes/step_images/cooking_cake.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/cooking_cake.jpg,2024-04-29 21:00:00,2024-04-29 21:30:00
9,2,スポンジ生地を焼き、クリームと一緒に巻きます。,,,2024-04-29 21:00:00,2024-04-29 21:30:00
10,1,フルーツを切り、パフェのベースを作ります。,recipes/step_images/cooking_cake.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/cooking_cake.jpg,2024-04-29 22:00:00,2024-04-29 22:30:00
10,2,ヨーグルトと一緒に層にして、トップにベリーを飾ります。,,,2024-04-29 22:00:00,2024-04-29 22:30:00
11,1,チョコレートを溶かし、ケーキ生地を作ります。,recipes/step_images/cooking_cake.jpg, https://static.vegevery.my-raga-bhakti.com/recipes/step_images/cooking_cake.jpg,2024-04-29 23:00:00,2024-04-29 23:30:00
11,2,オーブンで焼き上げます。,,,2024-04-29 23:00:00,2024-04-29 23:30:00
12,1,アボカドとトマトを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 18:00:00,2024-05-01 18:30:00
12,2,切ったアボカドとトマトをボウルに入れ、ドレッシングを加えて混ぜます。,,,2024-05-01 18:30:00,2024-05-01 19:00:00
13,1,ホワイトチョコレートを溶かし、桜のエッセンスを加えます。,recipes/step_images/cooking_cake.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/cooking_cake.jpg,2024-04-30 01:00:00,2024-04-30 01:30:00
13,2,ムースを冷蔵庫で冷やし、固まったら完成です。,,,2024-04-30 01:00:00,2024-04-30 01:30:00
14,1,ほうれん草ときのこを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 20:00:00,2024-05-01 20:30:00
14,2,切ったほうれん草ときのこをフライパンで炒め、クリームソースとパスタを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-01 20:30:00,2024-05-01 21:00:00
15,1,トマトを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 21:00:00,2024-05-01 21:30:00
15,2,切ったトマトを鍋に入れ、リゾットのスープを加えて煮ます。,,,2024-05-01 21:30:00,2024-05-01 22:00:00
16,1,アボカドとキノコを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 22:00:00,2024-05-01 22:30:00
16,2,切ったアボカドとキノコをグリルで焼きます。,,,2024-04-30 01:00:00,2024-04-30 01:30:00
17,1,抹茶と黒ごまを混ぜ、クッキー生地を作ります。,recipes/step_images/cooking_cake.jpeg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/cooking_cake.jpg ,2024-04-30 05:00:00,2024-04-30 05:30:00
17,2,オーブンで焼き上げ、冷めたらサンドします。,,,2024-04-29 23:00:00,2024-04-29 23:30:00
18,1,ほうれん草ときのこを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 00:00:00,2024-05-02 00:30:00
18,2,切ったほうれん草ときのこをフライパンで炒め、クリームソースとパスタを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 00:30:00,2024-05-02 01:00:00
19,1,豆腐と野菜を切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 01:00:00,2024-05-02 01:30:00
19,2,切った豆腐と野菜を鍋に入れ、カレー粉とスープを加えて煮ます。,,,2024-05-02 01:30:00,2024-05-02 02:00:00
20,1,きのこを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 02:00:00,2024-05-02 02:30:00
20,2,切ったきのこをフライパンで炒め、クリームソースとリゾットを加えて混ぜます。,recipes/step_images/frying_pan.jpeg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 02:30:00,2024-05-02 03:00:00
21,1,豆腐をハンバーグの形に成形します。,,,2024-05-02 03:00:00,2024-05-02 03:30:00
21,2,成形した豆腐ハンバーグをフライパンで焼きます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 03:30:00,2024-05-02 04:00:00
22,1,アボカドとトマトを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 04:00:00,2024-05-02 04:30:00
22,2,切ったアボカドとトマトをフライパンで炒め、パスタを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 04:30:00,2024-05-02 05:00:00
23,1,ほうれん草ときのこを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 05:00:00,2024-05-02 05:30:00
23,2,切ったほうれん草ときのこをフライパンで炒め、パスタを加えて混ぜます。,recipes/step_images/step46.jpeg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 05:30:00,2024-05-02 06:00:00
24,1,トマトとバジルを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 06:00:00,2024-05-02 06:30:00
24,2,切ったトマトとバジルをフライパンで炒め、スパゲッティを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 06:30:00,2024-05-02 07:00:00
25,1,アボカドときのこを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 07:00:00,2024-05-02 07:30:00
25,2,切ったアボカドときのこをフライパンで炒め、クリームソースとパスタを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 07:30:00,2024-05-02 08:00:00
26,1,豆腐と野菜を切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 08:00:00,2024-05-02 08:30:00
26,2,切った豆腐と野菜を鍋に入れ、カレー粉とスープを加えて煮ます。,,,2024-05-02 08:30:00,2024-05-02 09:00:00
27,1,きのこと野菜を切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 09:00:00,2024-05-02 09:30:00
27,2,切ったきのこと野菜をフライパンで炒め、パスタを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 09:30:00,2024-05-02 10:00:00
31,1,トマトとバジルを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 13:00:00,2024-05-02 13:30:00
31,2,切ったトマトとバジルをフライパンで炒め、リゾットを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 13:30:00,2024-05-02 14:00:00
32,1,アボカドときのこを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 14:00:00,2024-05-02 14:30:00
32,2,切ったアボカドときのこをフライパンで炒め、リゾットを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 14:30:00,2024-05-02 15:00:00
33,1,豆腐と野菜を切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 15:00:00,2024-05-02 15:30:00
33,2,切った豆腐と野菜を鍋に入れ、スープとパスタを加えて煮ます。,,,2024-05-02 15:30:00,2024-05-02 16:00:00
34,1,きのこと野菜を切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 16:00:00,2024-05-02 16:30:00
34,2,切ったきのこと野菜をフライパンで炒め、パスタを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 16:30:00,2024-05-02 17:00:00
35,1,豆腐と野菜を切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 17:00:00,2024-05-02 17:30:00
35,2,切った豆腐と野菜を鍋に入れ、リゾットのスープを加えて煮ます。,,,2024-05-02 17:30:00,2024-05-02 18:00:00
36,1,アボカドとトマトを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 18:00:00,2024-05-02 18:30:00
36,2,切ったアボカドとトマトをフライパンで炒め、リゾットを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 18:30:00,2024-05-02 19:00:00
37,1,ほうれん草ときのこを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 19:00:00,2024-05-02 19:30:00
37,2,切ったほうれん草ときのこをフライパンで炒め、パスタサラダを作ります。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 19:30:00,2024-05-02 20:00:00
38,1,トマトとバジルを切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-02 20:00:00,2024-05-02 20:30:00
38,2,切ったトマトとバジルをフライパンで炒め、パスタを加えて混ぜます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-02 20:30:00,2024-05-02 21:00:00
39,1,アボカドときのこをフライパンで炒めます。,recipes/step_images/frying_pan.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/frying_pan.jpg,2024-05-01 03:00:00,2024-05-01 03:30:00
39,2,クリームと一緒に炒め、リゾットに混ぜます。,,,2024-05-01 03:00:00,2024-05-01 03:30:00
40,1,豆腐と野菜を切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 04:00:00,2024-05-01 04:30:00
40,2,すべての材料を鍋に入れ、味噌で味を調えます。,,,2024-05-01 04:00:00,2024-05-01 04:30:00
41,1,きのこと野菜を切ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 05:00:00,2024-05-01 05:30:00
41,2,うどんと一緒に炒め、出汁で味を調えます。,,,2024-05-01 05:00:00,2024-05-01 05:30:00
42,1,豆腐と野菜を切り、ご飯と一緒に炊きます。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 06:00:00,2024-05-01 06:30:00
42,2,炊き上がったら、混ぜて完成です。,,,2024-05-01 06:00:00,2024-05-01 06:30:00
43,1,リンゴをくり抜き、パイ生地で包みます。,recipes/step_images/cooking_cake.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/cooking_cake.jpg,2024-05-01 07:00:00,2024-05-01 07:30:00
43,2,オーブンで焼き上げます。,,,2024-05-01 07:00:00,2024-05-01 07:30:00
44,1,きのこと野菜を切り、天ぷら生地を作ります。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/images/carrot.jpg,2024-05-01 08:00:00,2024-05-01 08:30:00
44,2,天ぷら生地にほうれん草ときのこをつけ、揚げます。,,,2024-05-01 08:00:00,2024-05-01 08:30:00
45,1,バターと砂糖をよく混ぜ、チョコチップを加えます。,recipes/step_images/cooking_cake.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/cooking_cake.jpg,2024-05-01 10:00:00,2024-05-01 10:30:00
45,2,生地を丸めて焼き、さくさくに仕上げます。,,,2024-05-01 10:00:00,2024-05-01 10:30:00
46,1,豆腐と野菜を切り、パスタと一緒に炒めます。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 12:00:00,2024-05-01 12:30:00
46,2,和風の調味料で味付けをし、完成です。,,,2024-05-01 11:00:00,2024-05-01 11:30:00
47,1,きのこと野菜を切り、リゾット用の米と一緒に炒めます。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 12:00:00,2024-05-01 12:30:00
47,2,出汁と調味料を加え、炊き上げます。,,,2024-05-01 12:00:00,2024-05-01 12:30:00
48,1,アボカドとトマトを切り、パスタと一緒に炒めます。,recipes/step_images/carrot.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/carrot.jpg,2024-05-01 12:00:00,2024-05-01 12:30:00
48,2,和風の調味料で味付けをし、完成です。,,,2024-05-01 14:00:00,2024-05-01 14:30:00
49,1,きな粉と黒糖を混ぜ、ドーナツ生地を作ります。,recipes/step_images/cooking_cake.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/cooking_cake.jpg,2024-05-01 14:00:00,2024-05-01 14:30:00
49,2,生地を丸めて焼き、和風ドーナツに仕上げます。,,,2024-05-01 14:00:00,2024-05-01 14:30:00
50,1,さくらんぼとアーモンドを混ぜ、ガレット生地を作ります。,recipes/step_images/cooking_cake.jpg,https://static.vegevery.my-raga-bhakti.com/recipes/step_images/cooking_cake.jpg,2024-05-01 14:00:00,2024-05-01 14:30:00
50,2,生地を丸めて焼き、ガレットに仕上げます。,,,2024-05-01 14:00:00,2024-05-01 14:30:00
